Title,Additional Info,Description,Ref,TypeOfContract,Cpv(main),Cpv(additional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henley College Coventry - Cleaning Services.	The successful tenderer will be required to provide cleaning services at Henley College Coventry.The contract being tendered is for 3 years in duration from 1.8.2016 until 31.7.2019", with an option for a further extension at the end of the contract term.The successful tenderer will be required to provide cleaning services at Henley College Coventry which is a vibrant and friendly, medium sized FE College that provides education, training and apprenticeships for approximately 5 000 part-time and 1 600 full-time students.The College has an excellent reputation for vocational courses in a wide range of areas including engineering, hospitality and catering, health and social care, hair and beauty, computing and sport. Study options are available at all levels up to and including higher education.Henley College Coventry's redevelopment has now been completed and was officially opened in March 2014. The 8 000 000 GBP facilities at Henley College Coventry includes a new entrance hall with an exhibition space to display learners' work, a new block with 14 large classrooms and state-of-the-art conference facilities, four new hair and beauty salons, a lively restaurant, a sports and fitness centre, and a Grade One nursery. Henley College Coventry believes in providing the best possible learner experience.The tender project is seeking to appoint a Contractor whose initiative and innovation will be welcomed for the provision of cleaning services within the facilities for Henley College. The high quality service levels proposed, should maintain excellent standards throughout, resulting in a pleasant environment for both the pupils and staff.The basis and rationale that the Client requires the successful contractor to operate to at all times, is being able to provide a College that is fit for purpose and that the Contractor is proactive in the management of the contract, thus ensuring that all specifications are achieved and that the frequency of cleans is as detailed within the Tender Specification.The contract being tendered is for 3 years in duration from 1.8.2016 until 31.7.2019, with an option for a further extension at the end of the contract term and will be fixed price in nature, with the Contractor invoicing the Client for one-twelfth of the annual cost on a monthly basis.It should be noted that the successful contractor will be expected to bring to the contract: innovation; new equipment; and cleaning methods, with BICSc standards being achieved, as a minimum, thus ensuring that the highest levels of cleanliness are maintained in all areas at all times and also ensuring that the productivity of the cleaning operatives is enhanced moving forward into the new contract term.At present 14 cleaning operatives are employed to work (between the hours of 5:00 and 8:30), Monday to Friday, which includes a Supervisor. The value of the current contract is circa 135 000 GBP + VAT.The College’s objectives:— To build upon the already improved standards of cleanliness within the College;— To receive a service that complies with the service standards;— To receive consistently high quality cleaning standards;— To generate an improved learning environment for all students," within the College;— To receive pro-active management support for the cleaning staff;— To hold regular review meetings with the successful contractor;— To achieve overall value for money.		SERVICES	90911200	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henley College Coventry — Security Services.	The successful tenderer will be required to provide security services at Henley College Coventry.The contract being tendered is for 3 years in duration from 1.8.2016 until 31.7.2019", with an option for a further extension at the end of the contract term.The successful tenderer will be required to provide security services at Henley College Coventry which is a vibrant and friendly, medium sized FE College that provides education, training and apprenticeships for approximately 5 000 part-time and 1 600 full-time students.The College has an excellent reputation for vocational courses in a wide range of areas including engineering, hospitality and catering, health and social care, hair and beauty, computing and sport. Study options are available at all levels up to and including higher education.Henley College Coventry's redevelopment has now been completed and was officially opened in March 2014. The 8 000 000 GBP facilities at Henley College Coventry includes a new entrance hall with an exhibition space to display learners' work, a new block with 14 large classrooms and state-of-the-art conference facilities, 4 new hair and beauty salons, a lively restaurant, a sports and fitness centre and a Grade 1 nursery. Henley College Coventry believes in providing the best possible learner experience.The contract being tendered is for 3 years from 1.8.2016 concluding on 31.7.2019, with an option for a further extension at the end of the contract term and will be fixed price in nature, with the Contractor invoicing the Client for one-twelfth  of the annual cost on a monthly basis.At present the College employs 2 guards (1 being the Supervisor on days) from approximately 7:00 to 19:00 hours. A third guard covers nights from 19:00 to 7:00 hours. These guards also work weekends, with another guard required for cover on either days or nights.Current costs are in the region of 120 000 GBP + VAT per annum.We expect the successful contractor to be able to bring innovation and excellence as part of the contractual relationship, as well as the desire to be proactive in the management of the Security Services Contract moving into this contractual term.It is the objective of this tender for the successful contractor to have in place a management support structure," site supervision and training plan that ensures that all locations are kept secure at all times and that the required specification is achieved consistently.The College’s objectives:— To build upon the already improved standards of security within the College;— To receive a service that complies with the service standards;— To maintain a secure working environment for all students and staff within the College;— To receive pro-active management support for the security staff;— To hold regular review meetings with the successful contractor;— To support the Contractor in working with Students with regard to work experience and apprenticeships;— To achieve overall value for money.		SERVICES	79710000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weston College — Tender for IT.	The successful tenderer will be required to provide IT for the new North Somerset Enterprise and Technology College (NSETC) and Bristol Futures Academy", part of Inspirational Futures Trust, sponsored by Weston College Multi Academy Trust.In March 2015 Weston College was named as the top Further Education establishment in the country in national awards presented in London. Weston College has recently been graded as 'Outstanding' by Ofsted, which means it is officially one of the highest performing colleges in the country, it shall ensure the new NSETC building and Bristol Futures Academy provide state-of-the-art facilities to help raise education standards in the region. Already 98 % of 19+ fulltime learners think 'the college is a great place to study and learn'.Due to the nature of the College Building Programme, the IT arrangements need to be integrated, enabling the College to continue to undertake its core business of 'creating brighter futures' to secure a positive outcome for all students. The successful contractor shall have a nominated single point to contact to act as project manager to the point that the IT order is fully delivered.The successful tenderer shall be appointed by 1.4.2016 for completion of the project by early May 2016. The exact date for completion may vary slightly, due to the nature of building and IT installation deadlines, however the appointed tenderer is required to guarantee to meet the final dates agreed as part of the overall building project plan.The contract being tendered is for the provision of IT, to be securely delivered to and formally received by college management. The value of the contract is in the region of 600 000 GBP. Within this overall budget and as documented on the order, there is a ‘small lot exemption’ for the advance supply of circa 10 laptops in December 2015, i.e. they are not required from the successful bidder.It should be borne in mind that all IT will be under the standard UK manufacturer's warranty, however proposals for including extended UK warranties shall be considered. The College shall agree a 'sign off' process for the safe receipt of all goods with the successful tenderer," e.g. only a UK Dell warranty shall be considered for Dell Laptops. Where stated only the specified manufacturer and model is acceptable.The contract is fixed price and any variations to the contract that are requested by the Client should be invoiced pro-rata at the agreed rate and should be calculated on a unit price per item basis.At the bid presentation stage of procurement shortlisted bidders shall be required to bring exact samples of all IT to present to the assessing panel for their approval. Higher specification items shall be considered only if offered from the same manufacturer and model at the same unit cost as the defined minimum requirement.Tenderers will be required to ensure that within the proposal they have allowed for adequate transportation and contract supervision for the delivery and secure receipt of all items by the College.Contractor 'Added Value' in terms of for example 'work experience' or 'sponsoring awards' shall be considered as part of the process to select the successful partner to fulfil this contract.		SUPPLIES	30230000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Maplesden Noakes School — Catering Services.	The successful tenderer will be required to provide catering services at The Maplesden Noakes School.The contract being tendered is for 3 years in duration from June 2016 to June 2019 with an opportunity for a further extension of contract of up to an additional 2 years (until June 2021).The Maplesden Noakes School is an 11-19 Secondary School in Maidstone", Kent, serving a catchment area in Mid Kent. In February 2012, the School became an Academy. It is currently at capacity with its student roll and there are local authority plans to expand its capacity in 2018-19 by an additional 2 forms of entry. The School also has a thriving and expanding Sixth Form.The tender project is seeking to appoint a Contractor whose initiative and innovation will be welcomed for the provision of service within the existing facilities for the 1 068 students on roll and 127 teaching and support staff, with a focus on exciting new food concepts to satisfy a wide range of pupil tastes and dietary requirements. The School would wish the successful contractor to review the current range of services offered and make recommendations accordingly.The contract being tendered is for three years in duration from June 2016 to June 2019 with an opportunity for a further extension of contract of up to an additional 2 years (until June 2021) and will operate as a Guaranteed Performance Contract, with the successful Contractor offering the School a guaranteed return / cost per annum for the provision of catering services. Sovereignty of the cash tariff is to remain with The Maplesden Noakes School for the duration of this contract.The School year is based on a calendar of 195 days. Five days are to be used for staff professional development which means that School will be open to receive students for the legal minimum of 190 days.The contract offered covers the scope for the provision of all catering services within the School, which currently includes morning breaks, lunch, hospitality and free issue requirements. Free School meals and hospitality will be charged based on consumption and at net food cost.Whilst the School prioritises value for money as a key objective of the Competitive Tender Process, the Governing body is not obliged to accept the lowest price.The value of the current contract (2014/15) is:— Cash sales  138 268 GBP;— Free School Meals and Hospitality  38 869 GBP;— Total  177 137 GBP;The Maplesden Noakes School expects the successful contractor to enable the continued development of catering through the provision of an innovative, healthy food service, with fresh, seasonal, locally sourced ingredients being prepared on-site. The School expects the successful tenderer to evidence, through their bid, how they shall support and complement its values and support the principles of Every Child Matters.The School believes that success should be celebrated and that pupils should enjoy their time at school; if lessons are stimulating and challenging then students will love learning. Much time therefore, is spent reviewing and planning schemes of work to ensure that they are differentiated to meet the needs of all students. As a result, the School are very enthusiastic regarding work experience and apprenticeship proposals and would welcome the input of the successful Contractor.As a school who are continually seeking ways to improve and develop the ethos and environment for students and staff, to give them the facilities they deserve and need to meet the challenges of the 21st Century," any consideration regarding inward capital investment as part of the Contractor’s tender submission would be welcomed. The School would wish for the Contractor to look at making this investment within the existing dining area.Please be advised that this contract will be let on a 3 + 2 years basis.		SERVICES	55524000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provision of a Core/HR and Payroll Enterprise software system.	Contract for the provision of a Core/HR and Payroll Enterprise software system for the CouncilContract for the provision of a Core/HR and Payroll Enterprise software system for the Council.The Council currently utilises a core HR/Payroll", employee and manager solution, ResourceLink," provided by NorthgateArinso. The Council’s current requirement is strategically aligned to the functionality of the ResourceLink product. The impact on service delivery and cost implications of changing to a new product would significantly reduce the Council's ability to provide Best Value. For technical reasons and the suppliers exclusive rights the required licensing and support of this product can only be provided by NorthgateArinso.		SERVICES	48000000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Competitive Design and Build Contract.	In order to fulfil its development programme", the Contracting Authority is seeking to appoint developers to provide land for development of social housing (each a Contract). The Contracts are for the provision of land for design and build contracts in Northern Ireland. Economic Operators must provide the land, design, construct and ensure completion of the scheme for the Contracting Authority in accordance with the Department for Social Development Housing Guide, the Contracting Authority’s requirements and statutory body requirements.A key requirement of the PQQ stage is the suitability of the Economic Operators’ sites for the development of social housing. Economic Operators must be able to demonstrate that they either:(i) Own the site and can provide clear non-encumbered title to the Contracting Authority; or(ii) Have an exclusive contract to unconditionally purchase clear," non-encumbered title and transfer to the Contracting Authority.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.Further information in relation to the specific requirements of this Lot can be found in Annex 2 of the Memorandum of Information.		WORKS	45000000	45215210",45210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Building energy Management Systems (BeMS) Maintenance and Support Framework.	The maintenance and support contract will be structured to provide CPM with 24/7/365 BeMS support for both routine planned maintenance and responsive repair works including call-outs and emergency response. Additional design and development works may be commissioned during the course of the contract for new installations", upgrading of systems, replacement of controls and development work such as user graphics design and training.Tenderers will be scored and ranked in order, the highest scoring tender being number 1 and will be the Council's first option for all planned maintenance services, no more than 3 will be appointed to this lot. The Contractor ranked at number one will be awarded the maintenance works as a direct call off, without competition. The Contractor ranked number one will undertake all maintenance works for so long as they have the capacity to do so, e.g. the capacity to undertake the works and servicing. In the event that the Contractor ranked at number one does not have the capacity to undertake the works the Council will award the maintenance works as a direct call off, without competition to the Contractor ranked number 2," and so on.No more than 6 contractors will be appointed to this lot. All works valued at GBP 10 000 and above will be subjected to mini competition with the contractors appointed to Lot 2. The mini competitions will be evaluated on a 100 % price basis.	9Z3K-E9DDTP	SERVICES	50000000	50000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blessed Hugh Faringdon Catholic School - Catering Services.	The successful tenderer will be required to provide catering services at Blessed Hugh Faringdon Catholic School.The contract being tendered is for 3 years in duration from 1.5.2016 to 30.4.2019 with an opportunity for a further extension of contract of up to an additional 2 years.Blessed Hugh Faringdon Catholic School is an oversubscribed", high performing, co-educational school of 875 students which includes a thriving Sixth Form of 120 students. Graded as ‘Good‘ by OFSTED and ‘Good with outstanding features‘ by the Diocese of Portsmouth, the school is located in West Reading and has been congratulated on its success by Education Ministers.The tender project is seeking to appoint a Contractor whose initiative and innovation will be welcomed for the provision of service within the existing facilities for the 875 students on roll and 125 teaching and support staff, with a focus on exciting new food concepts to satisfy a wide range of pupil tastes and dietary requirements. The School would wish the successful contractor to review the current range of services offered and make recommendations accordingly.The contract being tendered is for three years in duration from 1.5.2016 to 30.4.2019 and will operate as a Guaranteed Performance Contract, with the successful Contractor offering the School a guaranteed return / cost per annum for the provision of catering services. Sovereignty of the cash tariff is to remain with Blessed Hugh Faringdon Catholic School for the duration of this contract.The School year is based on a calendar of 195 days. Five days are to be used for staff professional development which means that School will be open to receive students for the legal minimum of 190 days.The contract offered covers the scope for the provision of all catering services within the School, which currently includes morning break, lunch, all hospitality and free issue requirements. Free School meals and hospitality will be charged based on consumption and at net food cost.Whilst the School prioritises value for money as a key objective of the competitive tender process, the Governing body is not obliged to accept the lowest price.The value of the current contract is:— 2014/15: 143,092 GBP;— Sept-Oct 2015: 31,768 GBP.Blessed Hugh Faringdon Catholic School expects the successful contractor to enable the continued development of catering through the provision of an innovative, healthy food service, with fresh, seasonal, locally sourced ingredients being prepared on-site. The School expects the successful tenderer to evidence, through their bid, how they shall support and complement its values.The School believes that success should be celebrated and that pupils should enjoy their time at school; if lessons are stimulating and challenging then students will love learning. Much time therefore, is spent reviewing and planning schemes of work to ensure that they are differentiated to meet the needs of all students. As a result, the School are very enthusiastic regarding work experience and apprenticeship proposals and would welcome the input of the successful Contractor.As a school who are continually seeking ways to improve and develop the ethos and environment for students and staff, to give them the facilities they deserve and need to meet the challenges of the 21st Century," any consideration regarding inward capital investment as part of the Contractor’s tender submission would be welcomed. The School would wish for the Contractor to look at making this investment within the existing dining area.Please be advised that this contract will be let on a 3 + 2 years basis.		SERVICES	55524000	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Learning and Talent Management System.	The Council is working to ensure all staff are well equipped and motivated to meet the challenges we face over the coming years.In order to support this programme", it has been identified that we need to implement an up to date Learning Management System (LMS) that not only manages and records learning (delivered via face2face training and online learning), but also acts as a Virtual Learning Environment (VLE) to support the delivery of learning via modern technology. The other key aspect of the LMS is that it links up to performance management/appraisals, succession planning and service planning.The Council is working to ensure all staff are well equipped and motivated to meet the challenges we face over the coming years.In order to support this programme, it has been identified that we need to implement an up to date Learning Management System (LMS) that not only manages and records learning (delivered via face2face training and online learning), but also acts as a Virtual Learning Environment (VLE) to support the delivery of learning via modern technology. The other key aspect of the LMS is that it links up to performance management/appraisals," succession planning and service planning.	BFDMDC-A4YH-Z2E6HV	SERVICES	80000000	80420000",48000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Substance Misuse In-Patient Detoxification.	To provide a framework of preferred providers for in-patient detoxification services for substance misusers. The framework will provide choice for service users. The contract will be a nil value contract with providers being paid upon completion of service provision.To provide a framework of preferred providers for in-patient detoxification services for substance misusers. The framework will provide choice for service users. The contract will be a nil value contract with providers being paid upon completion of service provision.	BFDMDC-A2UE-M3070V	SERVICES	85000000	98000000",33693300,85100000,85300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
